1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
7334: n = 9 m = 5, ms = 23, mst = a[0..6][3..4]
7335: n = 9 m = 10, ms = 32, mst = a[0..8][4..9]
7336: n = 7 m = 3, ms = 6, mst = a[2..6][2..2]
7337: n = 4 m = 5, ms = 16, mst = a[0..3][0..3]
7338: n = 3 m = 2, ms = 4, mst = a[0..2][1..1]
7339: n = 5 m = 4, ms = 23, mst = a[0..4][0..3]
7340: n = 6 m = 1, ms = 6, mst = a[0..1][0..0]
7341: n = 2 m = 4, ms = 3, mst = a[0..0][3..3]
7342: n = 6 m = 8, ms = 11, mst = a[1..5][5..6]
7343: n = 1 m = 6, ms = 5, mst = a[0..0][0..3]
7344: n = 10 m = 1, ms = 22, mst = a[0..7][0..0]
7345: n = 5 m = 4, ms = 8, mst = a[0..0][0..1]
7346: n = 6 m = 5, ms = 19, mst = a[1..5][0..4]
7347: n = 10 m = 3, ms = 11, mst = a[5..6][0..2]
7348: n = 8 m = 3, ms = 20, mst = a[0..4][0..2]
7349: n = 5 m = 7, ms = 8, mst = a[1..1][0..2]
7350: n = 1 m = 1, ms = 1, mst = a[0..0][0..0]
7351: n = 6 m = 10, ms = 18, mst = a[2..3][0..9]
7352: n = 9 m = 7, ms = 13, mst = a[5..8][2..2]
7353: n = 7 m = 6, ms = 21, mst = a[0..4][0..5]
7354: n = 5 m = 3, ms = 10, mst = a[1..4][2..2]
7355: n = 3 m = 3, ms = 9, mst = a[1..2][0..2]
7356: n = 10 m = 7, ms = 28, mst = a[3..7][2..6]
7357: n = 10 m = 4, ms = 12, mst = a[0..9][0..0]
7358: n = 2 m = 8, ms = 6, mst = a[0..1][5..5]
7359: n = 8 m = 4, ms = 15, mst = a[1..5][2..3]
7360: n = 3 m = 4, ms = 6, mst = a[1..2][2..2]
7361: n = 10 m = 3, ms = 9, mst = a[3..5][2..2]
7362: n = 4 m = 4, ms = 9, mst = a[0..0][0..2]
7363: n = 8 m = 2, ms = 9, mst = a[2..7][0..0]
7364: n = 10 m = 8, ms = 44, mst = a[0..9][3..7]
7365: n = 9 m = 10, ms = 11, mst = a[3..6][3..6]
7366: n = 10 m = 3, ms = 7, mst = a[1..3][1..1]
7367: n = 3 m = 2, ms = 7, mst = a[2..2][0..1]
7368: n = 4 m = 3, ms = 11, mst = a[2..3][1..2]
7369: n = 3 m = 8, ms = 10, mst = a[1..2][6..7]
7370: n = 5 m = 3, ms = 11, mst = a[1..4][1..2]
7371: n = 10 m = 3, ms = 19, mst = a[1..8][0..2]
7372: n = 4 m = 9, ms = 13, mst = a[0..3][0..2]
7373: n = 10 m = 10, ms = 25, mst = a[7..9][4..8]
7374: n = 2 m = 7, ms = 11, mst = a[0..0][0..5]
7375: n = 9 m = 6, ms = 35, mst = a[1..8][0..5]
7376: n = 8 m = 7, ms = 23, mst = a[5..6][0..6]
7377: n = 9 m = 4, ms = 21, mst = a[4..8][0..3]
7378: n = 6 m = 5, ms = 22, mst = a[1..5][1..4]
7379: n = 3 m = 3, ms = 6, mst = a[0..2][0..0]
7380: n = 1 m = 9, ms = 4, mst = a[0..0][0..0]
7381: n = 4 m = 5, ms = 8, mst = a[0..2][1..3]
7382: n = 3 m = 10, ms = 7, mst = a[0..1][6..6]
7383: n = 9 m = 10, ms = 24, mst = a[3..7][0..3]
7384: n = 4 m = 1, ms = 2, mst = a[2..2][0..0]
7385: n = 1 m = 5, ms = 11, mst = a[0..0][0..2]
7386: n = 9 m = 10, ms = 17, mst = a[7..8][0..9]
7387: n = 5 m = 4, ms = 7, mst = a[0..3][0..1]
7388: n = 4 m = 6, ms = 6, mst = a[3..3][0..2]
7389: n = 9 m = 10, ms = 23, mst = a[7..8][6..9]
7390: n = 4 m = 4, ms = 6, mst = a[0..2][1..1]
7391: n = 8 m = 7, ms = 23, mst = a[0..6][1..6]
7392: n = 5 m = 9, ms = 23, mst = a[0..4][2..6]
7393: n = 7 m = 8, ms = 23, mst = a[1..5][1..7]
7394: n = 3 m = 4, ms = 3, mst = a[1..1][0..0]
7395: n = 9 m = 5, ms = 22, mst = a[0..8][0..4]
7396: n = 3 m = 8, ms = 7, mst = a[0..0][4..5]
7397: n = 7 m = 9, ms = 43, mst = a[0..6][1..7]
7398: n = 3 m = 10, ms = 9, mst = a[0..1][1..4]
7399: n = 7 m = 7, ms = 24, mst = a[0..5][1..4]
7400: n = 1 m = 5, ms = 8, mst = a[0..0][0..1]
7401: n = 3 m = 10, ms = 32, mst = a[0..1][0..9]
7402: n = 3 m = 7, ms = 9, mst = a[0..1][4..6]
7403: n = 10 m = 10, ms = 17, mst = a[4..7][6..8]
7404: n = 5 m = 1, ms = 3, mst = a[1..1][0..0]
7405: n = 5 m = 3, ms = 11, mst = a[0..4][1..2]
7406: n = 4 m = 10, ms = 18, mst = a[0..2][0..5]
7407: n = 6 m = 6, ms = 12, mst = a[3..4][0..3]
7408: n = 4 m = 7, ms = 10, mst = a[0..1][2..4]
7409: n = 7 m = 8, ms = 21, mst = a[0..2][1..4]
7410: n = 6 m = 1, ms = 7, mst = a[2..5][0..0]
7411: n = 3 m = 7, ms = 14, mst = a[0..2][0..1]
7412: n = 10 m = 6, ms = 42, mst = a[0..8][0..5]
7413: n = 10 m = 1, ms = 4, mst = a[5..7][0..0]
7414: n = 3 m = 7, ms = 19, mst = a[0..2][0..4]
7415: n = 3 m = 1, ms = 3, mst = a[2..2][0..0]
7416: n = 10 m = 10, ms = 28, mst = a[1..9][0..2]
7417: n = 1 m = 7, ms = 2, mst = a[0..0][0..0]
7418: n = 4 m = 1, ms = 4, mst = a[2..2][0..0]
7419: n = 1 m = 6, ms = 5, mst = a[0..0][1..2]
7420: n = 4 m = 1, ms = 3, mst = a[3..3][0..0]
7421: n = 2 m = 6, ms = 10, mst = a[0..1][1..3]
7422: n = 8 m = 2, ms = 9, mst = a[1..7][0..0]
7423: n = 3 m = 2, ms = 4, mst = a[0..0][1..1]
7424: n = 4 m = 3, ms = 7, mst = a[0..0][0..2]
7425: n = 4 m = 6, ms = 6, mst = a[0..0][1..2]
7426: n = 10 m = 7, ms = 34, mst = a[0..8][2..6]
7427: n = 8 m = 6, ms = 20, mst = a[0..6][0..2]
7428: n = 2 m = 1, ms = 0, mst is empty
7429: n = 3 m = 1, ms = 3, mst = a[0..0][0..0]
7430: n = 2 m = 3, ms = 13, mst = a[0..1][1..2]
7431: n = 7 m = 3, ms = 17, mst = a[0..5][0..2]
7432: n = 7 m = 1, ms = 6, mst = a[0..2][0..0]
7433: n = 2 m = 7, ms = 10, mst = a[0..1][2..6]
7434: n = 3 m = 8, ms = 9, mst = a[1..1][0..3]
7435: n = 10 m = 3, ms = 8, mst = a[1..9][1..1]
7436: n = 4 m = 3, ms = 9, mst = a[2..3][1..2]
7437: n = 10 m = 7, ms = 25, mst = a[6..9][1..6]
7438: n = 10 m = 4, ms = 16, mst = a[8..9][0..2]
7439: n = 8 m = 7, ms = 12, mst = a[7..7][0..5]
7440: n = 2 m = 2, ms = 6, mst = a[0..0][0..1]
7441: n = 9 m = 10, ms = 17, mst = a[0..5][4..9]
7442: n = 10 m = 10, ms = 42, mst = a[0..9][0..8]
7443: n = 6 m = 4, ms = 7, mst = a[0..4][0..0]
7444: n = 9 m = 9, ms = 39, mst = a[2..7][0..8]
7445: n = 2 m = 2, ms = 6, mst = a[1..1][0..1]
7446: n = 10 m = 10, ms = 17, mst = a[1..3][3..6]
7447: n = 2 m = 6, ms = 9, mst = a[0..0][0..2]
7448: n = 10 m = 10, ms = 36, mst = a[3..9][0..5]
7449: n = 7 m = 1, ms = 6, mst = a[2..6][0..0]
7450: n = 9 m = 2, ms = 9, mst = a[0..2][0..0]
7451: n = 7 m = 2, ms = 7, mst = a[0..4][1..1]
7452: n = 7 m = 3, ms = 22, mst = a[0..5][0..2]
7453: n = 2 m = 7, ms = 2, mst = a[0..0][3..3]
7454: n = 3 m = 2, ms = 21, mst = a[0..2][0..1]
7455: n = 10 m = 7, ms = 37, mst = a[1..8][1..6]
7456: n = 2 m = 10, ms = 15, mst = a[0..1][4..7]
7457: n = 7 m = 3, ms = 26, mst = a[0..6][0..2]
7458: n = 4 m = 3, ms = 10, mst = a[0..2][0..2]
7459: n = 3 m = 9, ms = 11, mst = a[0..2][1..3]
7460: n = 4 m = 3, ms = 4, mst = a[0..0][1..1]
7461: n = 9 m = 4, ms = 31, mst = a[0..8][0..3]
7462: n = 5 m = 9, ms = 31, mst = a[0..4][3..8]
7463: n = 4 m = 1, ms = 1, mst = a[0..0][0..0]
7464: n = 3 m = 9, ms = 16, mst = a[0..2][1..6]
7465: n = 3 m = 1, ms = 2, mst = a[2..2][0..0]
7466: n = 8 m = 6, ms = 14, mst = a[6..7][1..5]
7467: n = 1 m = 3, ms = 3, mst = a[0..0][2..2]
7468: n = 5 m = 9, ms = 16, mst = a[0..2][4..8]
7469: n = 5 m = 7, ms = 17, mst = a[0..3][2..4]
7470: n = 3 m = 10, ms = 25, mst = a[0..2][0..5]
7471: n = 6 m = 2, ms = 10, mst = a[0..4][0..1]
7472: n = 1 m = 2, ms = 4, mst = a[0..0][1..1]
7473: n = 7 m = 10, ms = 46, mst = a[0..6][0..6]
7474: n = 7 m = 3, ms = 18, mst = a[2..4][0..2]
7475: n = 1 m = 8, ms = 3, mst = a[0..0][6..6]
7476: n = 10 m = 5, ms = 21, mst = a[0..9][0..4]
7477: n = 9 m = 10, ms = 18, mst = a[3..8][5..8]
7478: n = 5 m = 8, ms = 39, mst = a[0..4][2..5]
7479: n = 8 m = 2, ms = 12, mst = a[2..7][0..1]
7480: n = 1 m = 5, ms = 4, mst = a[0..0][4..4]
7481: n = 3 m = 7, ms = 12, mst = a[0..2][0..6]
7482: n = 2 m = 1, ms = 0, mst = a[1..1][0..0]
7483: n = 7 m = 8, ms = 42, mst = a[0..6][1..7]
7484: n = 9 m = 3, ms = 14, mst = a[0..2][0..2]
7485: n = 4 m = 6, ms = 11, mst = a[3..3][1..4]
7486: n = 4 m = 7, ms = 7, mst = a[2..3][2..2]
7487: n = 9 m = 8, ms = 32, mst = a[1..6][2..6]
7488: n = 1 m = 8, ms = 4, mst = a[0..0][2..3]
7489: n = 5 m = 9, ms = 15, mst = a[0..4][5..8]
7490: n = 1 m = 10, ms = 5, mst = a[0..0][1..3]
7491: n = 5 m = 4, ms = 5, mst = a[0..0][0..1]
7492: n = 8 m = 10, ms = 38, mst = a[2..6][0..8]
7493: n = 9 m = 3, ms = 9, mst = a[4..5][0..1]
7494: n = 6 m = 2, ms = 3, mst = a[0..2][1..1]
7495: n = 8 m = 7, ms = 18, mst = a[2..3][0..6]
7496: n = 8 m = 2, ms = 6, mst = a[6..7][1..1]
7497: n = 3 m = 4, ms = 11, mst = a[0..2][1..3]
7498: n = 3 m = 4, ms = 1, mst = a[1..1][3..3]
7499: n = 1 m = 7, ms = 4, mst = a[0..0][6..6]
7500: n = 4 m = 10, ms = 10, mst = a[0..0][2..9]
7501: n = 7 m = 4, ms = 8, mst = a[0..3][0..1]
7502: n = 4 m = 2, ms = 5, mst = a[0..0][0..1]
7503: n = 1 m = 1, ms = 0, mst = a[0..0][0..0]
7504: n = 10 m = 8, ms = 14, mst = a[0..7][1..3]
7505: n = 6 m = 10, ms = 13, mst = a[0..0][1..8]
7506: n = 10 m = 7, ms = 19, mst = a[3..9][4..6]
7507: n = 4 m = 9, ms = 12, mst = a[0..3][0..2]
7508: n = 10 m = 1, ms = 4, mst = a[6..6][0..0]
7509: n = 2 m = 1, ms = 4, mst = a[1..1][0..0]
7510: n = 1 m = 7, ms = 5, mst = a[0..0][2..5]
7511: n = 4 m = 8, ms = 13, mst = a[0..1][1..3]
7512: n = 5 m = 9, ms = 11, mst = a[0..1][3..6]
7513: n = 1 m = 3, ms = 3, mst = a[0..0][0..0]
7514: n = 10 m = 9, ms = 22, mst = a[1..4][5..8]
7515: n = 9 m = 5, ms = 21, mst = a[0..4][2..4]
7516: n = 3 m = 9, ms = 9, mst = a[0..0][0..8]
7517: n = 6 m = 5, ms = 11, mst = a[0..3][2..4]
7518: n = 7 m = 3, ms = 7, mst = a[6..6][1..2]
7519: n = 5 m = 9, ms = 17, mst = a[0..1][2..5]
7520: n = 10 m = 5, ms = 23, mst = a[0..9][1..4]
7521: n = 5 m = 8, ms = 20, mst = a[0..4][1..6]
7522: n = 10 m = 2, ms = 8, mst = a[8..9][0..1]
7523: n = 1 m = 9, ms = 12, mst = a[0..0][5..7]
7524: n = 4 m = 3, ms = 8, mst = a[1..2][0..1]
7525: n = 7 m = 3, ms = 6, mst = a[6..6][0..2]
7526: n = 9 m = 5, ms = 12, mst = a[6..8][0..1]
7527: n = 1 m = 7, ms = 6, mst = a[0..0][1..2]
7528: n = 7 m = 2, ms = 4, mst = a[3..4][1..1]
7529: n = 8 m = 9, ms = 23, mst = a[2..4][0..6]
7530: n = 4 m = 1, ms = 2, mst = a[0..0][0..0]
7531: n = 7 m = 3, ms = 6, mst = a[5..6][2..2]
7532: n = 9 m = 1, ms = 0, mst is empty
7533: n = 3 m = 1, ms = 3, mst = a[2..2][0..0]
7534: n = 4 m = 1, ms = 8, mst = a[0..3][0..0]
7535: n = 5 m = 6, ms = 10, mst = a[1..2][2..3]
7536: n = 2 m = 5, ms = 12, mst = a[0..1][0..2]
7537: n = 1 m = 5, ms = 3, mst = a[0..0][1..2]
7538: n = 2 m = 7, ms = 8, mst = a[0..0][2..5]
7539: n = 6 m = 9, ms = 11, mst = a[1..5][8..8]
7540: n = 6 m = 8, ms = 19, mst = a[0..5][4..5]
7541: n = 5 m = 5, ms = 24, mst = a[0..2][0..4]
7542: n = 1 m = 8, ms = 9, mst = a[0..0][2..6]
7543: n = 7 m = 5, ms = 18, mst = a[0..1][2..4]
7544: n = 2 m = 2, ms = 3, mst = a[0..0][0..0]
7545: n = 3 m = 1, ms = 5, mst = a[0..1][0..0]
7546: n = 9 m = 1, ms = 8, mst = a[6..8][0..0]
7547: n = 8 m = 10, ms = 36, mst = a[0..7][3..9]
7548: n = 10 m = 2, ms = 9, mst = a[4..5][0..1]
7549: n = 4 m = 1, ms = 4, mst = a[2..3][0..0]
7550: n = 8 m = 7, ms = 13, mst = a[1..7][6..6]
7551: n = 4 m = 1, ms = 1, mst = a[3..3][0..0]
7552: n = 1 m = 4, ms = 4, mst = a[0..0][1..1]
7553: n = 1 m = 9, ms = 8, mst = a[0..0][2..5]
7554: n = 2 m = 8, ms = 12, mst = a[0..1][0..4]
7555: n = 8 m = 2, ms = 13, mst = a[0..5][0..1]
7556: n = 7 m = 5, ms = 7, mst = a[2..2][0..3]
7557: n = 4 m = 3, ms = 5, mst = a[0..1][1..2]
7558: n = 8 m = 7, ms = 42, mst = a[0..6][0..5]
7559: n = 4 m = 5, ms = 14, mst = a[1..3][0..3]
7560: n = 7 m = 3, ms = 12, mst = a[2..4][1..2]
7561: n = 5 m = 9, ms = 15, mst = a[2..4][0..3]
7562: n = 2 m = 2, ms = 0, mst = a[0..0][0..0]
7563: n = 3 m = 7, ms = 11, mst = a[0..2][5..6]
7564: n = 4 m = 8, ms = 20, mst = a[1..2][1..7]
7565: n = 6 m = 7, ms = 15, mst = a[1..5][4..6]
7566: n = 9 m = 9, ms = 39, mst = a[1..6][0..5]
7567: n = 2 m = 8, ms = 7, mst = a[0..0][0..4]
7568: n = 2 m = 10, ms = 20, mst = a[0..1][2..8]
7569: n = 6 m = 2, ms = 11, mst = a[4..5][0..1]
7570: n = 5 m = 7, ms = 16, mst = a[0..4][0..2]
7571: n = 10 m = 2, ms = 18, mst = a[5..8][0..1]
7572: n = 5 m = 7, ms = 14, mst = a[2..3][1..6]
7573: n = 4 m = 6, ms = 11, mst = a[2..2][0..2]
7574: n = 9 m = 5, ms = 25, mst = a[1..6][0..4]
7575: n = 1 m = 1, ms = 0, mst = a[0..0][0..0]
7576: n = 10 m = 8, ms = 25, mst = a[1..9][3..5]
7577: n = 1 m = 1, ms = 0, mst is empty
7578: n = 8 m = 3, ms = 9, mst = a[1..2][0..1]
7579: n = 2 m = 8, ms = 10, mst = a[0..1][0..5]
7580: n = 7 m = 5, ms = 19, mst = a[0..6][0..0]
7581: n = 9 m = 8, ms = 43, mst = a[0..7][0..6]
7582: n = 7 m = 10, ms = 29, mst = a[0..2][0..7]
7583: n = 7 m = 5, ms = 22, mst = a[2..6][1..4]
7584: n = 5 m = 5, ms = 10, mst = a[1..4][4..4]
7585: n = 8 m = 9, ms = 37, mst = a[1..6][2..6]
7586: n = 10 m = 7, ms = 28, mst = a[0..5][3..6]
7587: n = 1 m = 7, ms = 2, mst = a[0..0][2..3]
7588: n = 6 m = 5, ms = 12, mst = a[1..5][0..1]
7589: n = 5 m = 5, ms = 17, mst = a[0..4][1..4]
7590: n = 5 m = 4, ms = 11, mst = a[0..4][0..2]
7591: n = 8 m = 10, ms = 37, mst = a[1..7][1..9]
7592: n = 4 m = 1, ms = 3, mst = a[3..3][0..0]
7593: n = 1 m = 4, ms = 2, mst = a[0..0][1..1]
7594: n = 6 m = 9, ms = 10, mst = a[0..3][2..2]
7595: n = 4 m = 6, ms = 12, mst = a[0..3][3..5]
7596: n = 4 m = 4, ms = 4, mst = a[1..1][1..1]
7597: n = 2 m = 10, ms = 11, mst = a[1..1][0..9]
7598: n = 8 m = 5, ms = 18, mst = a[1..5][1..4]
7599: n = 8 m = 4, ms = 12, mst = a[1..7][0..1]
7600: n = 2 m = 1, ms = 0, mst is empty
7601: n = 7 m = 2, ms = 8, mst = a[1..6][1..1]
7602: n = 1 m = 3, ms = 0, mst = a[0..0][0..0]
7603: n = 4 m = 3, ms = 14, mst = a[0..3][0..2]
7604: n = 9 m = 1, ms = 2, mst = a[0..0][0..0]
7605: n = 8 m = 8, ms = 11, mst = a[0..5][0..1]
7606: n = 7 m = 10, ms = 16, mst = a[0..6][8..9]
7607: n = 5 m = 10, ms = 17, mst = a[3..4][1..7]
7608: n = 6 m = 2, ms = 10, mst = a[3..5][0..1]
7609: n = 3 m = 2, ms = 6, mst = a[0..1][1..1]
7610: n = 5 m = 9, ms = 22, mst = a[2..4][1..8]
7611: n = 2 m = 9, ms = 9, mst = a[0..1][2..4]
7612: n = 7 m = 10, ms = 21, mst = a[0..2][0..5]
7613: n = 3 m = 9, ms = 10, mst = a[0..2][3..4]
7614: n = 5 m = 1, ms = 4, mst = a[1..1][0..0]
7615: n = 4 m = 5, ms = 4, mst = a[3..3][1..1]
7616: n = 2 m = 9, ms = 6, mst = a[0..0][0..6]
7617: n = 3 m = 9, ms = 22, mst = a[1..2][0..8]
7618: n = 8 m = 8, ms = 29, mst = a[3..7][0..7]
7619: n = 10 m = 2, ms = 15, mst = a[0..4][0..1]
7620: n = 3 m = 7, ms = 8, mst = a[1..1][1..3]
7621: n = 7 m = 9, ms = 14, mst = a[1..4][0..5]
7622: n = 2 m = 9, ms = 11, mst = a[1..1][0..7]
7623: n = 9 m = 7, ms = 52, mst = a[0..6][1..6]
7624: n = 7 m = 2, ms = 16, mst = a[0..6][0..1]
7625: n = 10 m = 7, ms = 12, mst = a[0..6][4..4]
7626: n = 6 m = 1, ms = 5, mst = a[3..4][0..0]
7627: n = 3 m = 10, ms = 8, mst = a[1..1][0..5]
7628: n = 7 m = 9, ms = 13, mst = a[2..3][0..2]
7629: n = 4 m = 6, ms = 9, mst = a[0..2][0..1]
7630: n = 1 m = 2, ms = 0, mst = a[0..0][0..0]
7631: n = 2 m = 4, ms = 11, mst = a[0..1][1..2]
7632: n = 7 m = 5, ms = 14, mst = a[0..3][2..3]
7633: n = 4 m = 8, ms = 19, mst = a[0..3][1..2]
7634: n = 8 m = 5, ms = 17, mst = a[1..3][0..4]
7635: n = 10 m = 7, ms = 27, mst = a[0..4][1..4]
7636: n = 1 m = 3, ms = 5, mst = a[0..0][1..2]
7637: n = 3 m = 9, ms = 19, mst = a[0..2][0..7]
7638: n = 3 m = 9, ms = 16, mst = a[0..2][0..6]
7639: n = 4 m = 3, ms = 5, mst = a[0..1][1..1]
7640: n = 5 m = 7, ms = 15, mst = a[0..2][1..6]
7641: n = 3 m = 7, ms = 27, mst = a[0..2][0..6]
7642: n = 9 m = 5, ms = 9, mst = a[4..4][0..3]
7643: n = 1 m = 4, ms = 4, mst = a[0..0][1..1]
7644: n = 6 m = 1, ms = 2, mst = a[4..4][0..0]
7645: n = 6 m = 9, ms = 10, mst = a[4..4][0..3]
7646: n = 5 m = 9, ms = 13, mst = a[1..2][0..3]
7647: n = 1 m = 5, ms = 1, mst = a[0..0][2..2]
7648: n = 1 m = 4, ms = 10, mst = a[0..0][0..3]
7649: n = 2 m = 10, ms = 10, mst = a[0..0][2..8]
7650: n = 1 m = 1, ms = 1, mst = a[0..0][0..0]
7651: n = 2 m = 3, ms = 2, mst = a[0..0][2..2]
7652: n = 9 m = 2, ms = 13, mst = a[5..8][0..1]
7653: n = 9 m = 9, ms = 38, mst = a[0..6][0..7]
7654: n = 8 m = 4, ms = 17, mst = a[3..7][0..3]
7655: n = 7 m = 9, ms = 18, mst = a[3..4][0..5]
7656: n = 5 m = 1, ms = 1, mst = a[1..1][0..0]
7657: n = 9 m = 9, ms = 21, mst = a[4..7][4..7]
7658: n = 6 m = 10, ms = 17, mst = a[0..2][6..7]
7659: n = 3 m = 2, ms = 10, mst = a[0..2][0..1]
7660: n = 5 m = 1, ms = 5, mst = a[0..1][0..0]
7661: n = 2 m = 2, ms = 7, mst = a[0..0][0..1]
7662: n = 10 m = 5, ms = 12, mst = a[1..7][0..1]
7663: n = 9 m = 5, ms = 11, mst = a[7..8][0..4]
7664: n = 3 m = 10, ms = 24, mst = a[0..2][1..9]
7665: n = 6 m = 1, ms = 6, mst = a[2..4][0..0]
7666: n = 3 m = 9, ms = 7, mst = a[2..2][3..6]
7667: n = 9 m = 3, ms = 21, mst = a[3..8][0..2]
7668: n = 1 m = 8, ms = 14, mst = a[0..0][0..4]
7669: n = 1 m = 6, ms = 2, mst = a[0..0][0..0]
7670: n = 7 m = 10, ms = 23, mst = a[0..2][1..8]
7671: n = 7 m = 4, ms = 11, mst = a[0..4][0..0]
7672: n = 10 m = 2, ms = 15, mst = a[2..9][0..1]
7673: n = 10 m = 6, ms = 26, mst = a[0..7][1..5]
7674: n = 2 m = 10, ms = 9, mst = a[0..1][0..3]
7675: n = 1 m = 5, ms = 2, mst = a[0..0][0..0]
7676: n = 1 m = 10, ms = 4, mst = a[0..0][3..3]
7677: n = 10 m = 6, ms = 25, mst = a[0..3][2..5]
7678: n = 1 m = 10, ms = 11, mst = a[0..0][4..9]
7679: n = 8 m = 1, ms = 4, mst = a[2..2][0..0]
7680: n = 2 m = 10, ms = 4, mst = a[0..0][3..4]
7681: n = 10 m = 6, ms = 11, mst = a[7..7][0..4]
7682: n = 4 m = 2, ms = 8, mst = a[1..3][0..0]
7683: n = 7 m = 6, ms = 16, mst = a[1..6][1..3]
7684: n = 7 m = 6, ms = 26, mst = a[0..5][2..5]
7685: n = 6 m = 9, ms = 34, mst = a[0..3][0..8]
7686: n = 3 m = 9, ms = 11, mst = a[2..2][3..7]
7687: n = 8 m = 8, ms = 23, mst = a[0..7][0..5]
7688: n = 5 m = 1, ms = 6, mst = a[0..4][0..0]
7689: n = 3 m = 8, ms = 11, mst = a[0..2][3..4]
7690: n = 2 m = 9, ms = 14, mst = a[0..0][0..8]
7691: n = 3 m = 8, ms = 9, mst = a[0..2][1..2]
7692: n = 10 m = 6, ms = 13, mst = a[8..9][0..5]
7693: n = 5 m = 2, ms = 3, mst = a[3..3][1..1]
7694: n = 5 m = 5, ms = 24, mst = a[0..4][1..3]
7695: n = 2 m = 7, ms = 13, mst = a[0..1][3..6]
7696: n = 3 m = 9, ms = 7, mst = a[0..2][6..8]
7697: n = 6 m = 2, ms = 14, mst = a[0..5][0..1]
7698: n = 6 m = 2, ms = 4, mst = a[4..5][0..1]
7699: n = 3 m = 8, ms = 8, mst = a[1..1][0..1]
7700: n = 1 m = 4, ms = 0, mst = a[0..0][0..0]
7701: n = 10 m = 3, ms = 10, mst = a[7..9][1..2]
7702: n = 7 m = 3, ms = 6, mst = a[0..1][0..2]
7703: n = 1 m = 10, ms = 1, mst = a[0..0][3..3]
7704: n = 1 m = 9, ms = 12, mst = a[0..0][1..8]
7705: n = 4 m = 1, ms = 4, mst = a[1..1][0..0]
7706: n = 9 m = 7, ms = 29, mst = a[0..4][1..6]
7707: n = 5 m = 4, ms = 4, mst = a[3..3][3..3]
7708: n = 7 m = 10, ms = 19, mst = a[3..6][0..3]
7709: n = 8 m = 10, ms = 25, mst = a[0..7][0..6]
7710: n = 4 m = 7, ms = 17, mst = a[0..2][0..4]
7711: n = 10 m = 2, ms = 4, mst = a[7..7][1..1]
7712: n = 7 m = 8, ms = 27, mst = a[0..6][2..7]
7713: n = 10 m = 5, ms = 28, mst = a[0..8][0..4]
7714: n = 7 m = 2, ms = 7, mst = a[4..6][0..0]
7715: n = 7 m = 6, ms = 20, mst = a[0..4][0..5]
7716: n = 5 m = 6, ms = 11, mst = a[1..3][3..4]
7717: n = 10 m = 10, ms = 26, mst = a[1..9][5..9]
7718: n = 1 m = 2, ms = 6, mst = a[0..0][0..1]
7719: n = 3 m = 5, ms = 9, mst = a[0..2][3..3]
7720: n = 3 m = 10, ms = 22, mst = a[1..2][1..8]
7721: n = 7 m = 8, ms = 37, mst = a[0..6][0..7]
7722: n = 1 m = 10, ms = 7, mst = a[0..0][0..2]
7723: n = 10 m = 9, ms = 27, mst = a[0..4][0..6]
7724: n = 7 m = 9, ms = 25, mst = a[0..6][0..1]
7725: n = 2 m = 5, ms = 5, mst = a[0..0][2..3]
7726: n = 1 m = 5, ms = 6, mst = a[0..0][0..1]
7727: n = 8 m = 8, ms = 21, mst = a[4..7][1..7]
7728: n = 1 m = 8, ms = 13, mst = a[0..0][2..7]
7729: n = 2 m = 9, ms = 8, mst = a[0..1][4..6]
7730: n = 5 m = 7, ms = 10, mst = a[0..1][1..2]
7731: n = 10 m = 1, ms = 10, mst = a[6..8][0..0]
7732: n = 4 m = 9, ms = 18, mst = a[0..3][1..8]
7733: n = 2 m = 8, ms = 9, mst = a[1..1][1..4]
7734: n = 10 m = 3, ms = 14, mst = a[0..8][1..1]
7735: n = 3 m = 9, ms = 12, mst = a[0..1][4..8]
7736: n = 4 m = 4, ms = 10, mst = a[1..3][2..3]
7737: n = 10 m = 10, ms = 17, mst = a[5..7][3..5]
7738: n = 1 m = 3, ms = 2, mst = a[0..0][0..0]
7739: n = 7 m = 5, ms = 14, mst = a[2..4][2..4]
7740: n = 5 m = 5, ms = 18, mst = a[0..3][2..4]
7741: n = 3 m = 4, ms = 12, mst = a[2..2][0..3]
7742: n = 10 m = 8, ms = 26, mst = a[0..8][1..2]
7743: n = 10 m = 1, ms = 16, mst = a[0..8][0..0]
7744: n = 1 m = 3, ms = 2, mst = a[0..0][0..0]
7745: n = 2 m = 8, ms = 4, mst = a[0..0][0..0]
7746: n = 10 m = 6, ms = 22, mst = a[0..8][1..4]
7747: n = 4 m = 7, ms = 9, mst = a[0..1][4..5]
7748: n = 8 m = 6, ms = 28, mst = a[0..4][0..5]
7749: n = 7 m = 2, ms = 13, mst = a[2..5][0..0]
7750: n = 4 m = 9, ms = 10, mst = a[1..2][0..8]
7751: n = 2 m = 4, ms = 6, mst = a[0..1][3..3]
7752: n = 2 m = 6, ms = 15, mst = a[0..0][0..4]
7753: n = 7 m = 2, ms = 12, mst = a[0..4][0..1]
7754: n = 9 m = 6, ms = 16, mst = a[1..6][3..5]
7755: n = 6 m = 1, ms = 0, mst = a[2..2][0..0]
7756: n = 5 m = 8, ms = 24, mst = a[1..2][0..7]
7757: n = 3 m = 1, ms = 2, mst = a[0..0][0..0]
